Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     22.53     0.00        2     0.00     0.00  caml_convert_flag_list
  0.00     22.53     0.00        2     0.00     0.00  caml_fill_string
  0.00     22.53     0.00        2     0.00     0.00  caml_ml_open_descriptor_in
  0.00     22.53     0.00        2     0.00     0.00  caml_stat_free
  0.00     22.53     0.00        2     0.00     0.00  caml_sys_open
  0.00     22.53     0.00        2     0.00     0.00  norm_heapincr
  0.00     22.53     0.00        2     0.00     0.00  reset_table
  0.00     22.53     0.00        1     0.00     0.00  camlArray__entry
  0.00     22.53     0.00        1     0.00     0.00  camlBuffer__entry
  0.00     22.53     0.00        1     0.00     0.00  camlChar__entry
  0.00     22.53     0.00        1     0.00     0.00  camlHashtbl__entry
  0.00     22.53     0.00        1     0.00     0.00  camlList__entry
  0.00     22.53     0.00        1     0.00     0.00  camlList__rev_map_1067
  0.00     22.53     0.00        1     0.00     0.02  camlList__rmap_f_1070
  0.00     22.53     0.00        1     0.00     0.00  camlList__tl_1039
  0.00     22.53     0.00        1     0.00     6.83  camlOptim0__entry
  0.00     22.53     0.00        1     0.00     0.00  camlOptim0__iterate_1042
  0.00     22.53     0.00        1     0.00     0.32  camlOptim0__read_words_1030
  0.00     22.53     0.00        1     0.00     0.00  camlPervasives__close_out_1209
  0.00     22.53     0.00        1     0.00     0.00  camlPervasives__entry
  0.00     22.53     0.00        1     0.00     0.00  camlPervasives__flush_all_1185
  0.00     22.53     0.00        1     0.00     0.00  camlPervasives__iter_1186
  0.00     22.53     0.00        1     0.00     0.00  camlPervasives__open_in_1218
  0.00     22.53     0.00        1     0.00     0.00  camlPervasives__open_in_gen_1214
  0.00     22.53     0.00        1     0.00     0.00  camlPervasives__open_out_1179
  0.00     22.53     0.00        1     0.00     0.00  camlPervasives__open_out_gen_1175
  0.00     22.53     0.00        1     0.00     0.00  camlPrintf__entry
  0.00     22.53     0.00        1     0.00     0.00  camlPrintf__fprintf_1391
  0.00     22.53     0.00        1     0.00     0.00  camlPrintf__fun_1680
  0.00     22.53     0.00        1     0.00     0.00  camlPrintf__kapr_1209
  0.00     22.53     0.00        1     0.00     0.00  camlPrintf__kfprintf_1386
  0.00     22.53     0.00        1     0.00     0.00  camlPrintf__mkprintf_1345
  0.00     22.53     0.00        1     0.00     0.00  camlScanf__entry
  0.00     22.53     0.00        1     0.00     0.00  camlScanf__scan_raise_at_end_1147
  0.00     22.53     0.00        1     0.00     0.00  camlStd_exit__entry
  0.00     22.53     0.00        1     0.00     0.00  camlString__entry
  0.00     22.53     0.00        1     0.00     0.00  camlSys__entry
  0.00     22.53     0.00        1     0.00     0.00  caml_alloc
  0.00     22.53     0.00        1     0.00     0.00  caml_alloc_array
  0.00     22.53     0.00        1     0.00     0.00  caml_alloc_table
  0.00     22.53     0.00        1     0.00     0.00  caml_apply6
  0.00     22.53     0.00        1     0.00     0.00  caml_copy_string_array
  0.00     22.53     0.00        1     0.00     0.00  caml_curry4
  0.00     22.53     0.00        1     0.00     0.00  caml_curry4_1
  0.00     22.53     0.00        1     0.00     0.00  caml_curry7
  0.00     22.53     0.00        1     0.00     0.00  caml_curry7_1
  0.00     22.53     0.00        1     0.00     0.00  caml_curry7_2
  0.00     22.53     0.00        1     0.00     0.00  caml_curry7_3
  0.00     22.53     0.00        1     0.00     0.00  caml_curry7_4
  0.00     22.53     0.00        1     0.00     0.00  caml_curry7_5
  0.00     22.53     0.00        1     0.00     0.00  caml_curry7_6
  0.00     22.53     0.00        1     0.00     0.00  caml_debugger_init
  0.00     22.53     0.00        1     0.00     0.00  caml_executable_name
  0.00     22.53     0.00        1     0.00     0.00  caml_init_custom_operations
  0.00     22.53     0.00        1     0.00     0.00  caml_init_frame_descriptors
  0.00     22.53     0.00        1     0.00     0.01  caml_init_gc
  0.00     22.53     0.00        1     0.00     0.00  caml_init_major_heap
  0.00     22.53     0.00        1     0.00     0.00  caml_init_signals
  0.00     22.53     0.00        1     0.00     0.00  caml_insert_global_root
  0.00     22.53     0.00        1     0.00     0.22  caml_main
  0.00     22.53     0.00        1     0.00     0.00  caml_ml_close_channel
  0.00     22.53     0.00        1     0.00     0.00  caml_ml_out_channels_list
  0.00     22.53     0.00        1     0.00     0.00  caml_page_table_initialize
  0.00     22.53     0.00        1     0.00     6.83  caml_program
  0.00     22.53     0.00        1     0.00     0.00  caml_realloc_ref_table
  0.00     22.53     0.00        1     0.00     0.00  caml_register_global_root
  0.00     22.53     0.00        1     0.00     0.00  caml_register_named_value
  0.00     22.53     0.00        1     0.00     0.00  caml_set_minor_heap_size
  0.00     22.53     0.00        1     0.00     0.00  caml_sys_exit
  0.00     22.53     0.00        1     0.00     0.00  caml_sys_get_argv
  0.00     22.53     0.00        1     0.00     0.00  caml_sys_get_config
  0.00     22.53     0.00        1     0.00     0.00  caml_sys_init
  0.00     22.53     0.00        1     0.00     0.00  hash_value_name
  0.00     22.53     0.00        1     0.00     0.00  norm_minsize
  0.00     22.53     0.00        1     0.00     0.00  norm_pfree
  0.00     22.53     0.00        1     0.00     0.00  norm_pmax

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.04% of 22.53 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     61.7    0.64   13.26                 caml_c_call [1]
                1.12   12.13 306656692/306656692     caml_compare [2]
                0.00    0.01 1390681/1390681     caml_create_string [76]
                0.00    0.00   12416/12416       caml_make_vect [89]
                0.00    0.00   12413/12413       caml_format_int [98]
                0.00    0.00       1/1           caml_ml_out_channels_list [106]
                0.00    0.00       3/3           caml_lessequal [110]
                0.00    0.00       3/3           caml_greaterequal [109]
                0.00    0.00       1/1           caml_sys_get_argv [113]
                0.00    0.00       1/1           caml_sys_get_config [115]
                0.00    0.00       3/3           caml_ml_open_descriptor_out [116]
                0.00    0.00       2/2           caml_ml_open_descriptor_in [118]
                0.00    0.00       2/2           caml_sys_open [121]
                0.00    0.00   37239/37239       caml_ml_output_char [152]
                0.00    0.00   24826/24826       caml_ml_output [161]
                0.00    0.00    1685/1685        caml_ml_input [176]
                0.00    0.00       6/6           caml_int64_float_of_bits [203]
                0.00    0.00       3/3           caml_ml_flush [212]
                0.00    0.00       1/1           caml_ml_close_channel [268]
                0.00    0.00       1/1           caml_register_named_value [272]
-----------------------------------------------
