Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 1.00% of 1.00 seconds

index % time    self  children    called     name
                0.00    0.48       1/1           caml_program [2]
[1]     48.1    0.00    0.48       1         camlOptim2__entry [1]
                0.00    0.25       1/1           camlOptim2__histogram_1042 [8]
                0.01    0.21       1/1           camlOptim2__read_words_1030 [10]
                0.00    0.01       1/1           camlList__rmap_f_1070 [71]
                0.00    0.00       1/3           camlList__iter_1074 [56]
                0.00    0.00       1/1           camlPrintf__kapr_1209 [105]
                0.00    0.00       1/1           camlPrintf__mkprintf_1345 [116]
                0.00    0.00       1/1           camlList__rev_map_1067 [233]
                0.00    0.00       1/1           caml_curry7_5 [264]
                0.00    0.00       1/1           caml_apply6 [256]
                0.00    0.00       1/1           camlPrintf__kfprintf_1386 [248]
                0.00    0.00       1/1           camlPrintf__fprintf_1391 [246]
                0.00    0.00       1/1           camlPervasives__open_out_gen_1175 [244]
                0.00    0.00       1/1           camlPervasives__open_out_1179 [243]
                0.00    0.00       1/1           caml_curry7_6 [265]
                0.00    0.00       1/1           camlPervasives__close_out_1209 [237]
                0.00    0.00       1/1           camlOptim2__iterate_1037 [236]
-----------------------------------------------
                0.00    0.48       1/1           caml_start_program [3]
[2]     48.1    0.00    0.48       1         caml_program [2]
                0.00    0.48       1/1           camlOptim2__entry [1]
                0.00    0.00       1/1           camlPervasives__entry [238]
                0.00    0.00       1/1           camlArray__entry [227]
                0.00    0.00       1/1           camlList__entry [231]
                0.00    0.00       1/1           camlChar__entry [229]
                0.00    0.00       1/1           camlString__entry [252]
                0.00    0.00       1/1           camlSys__entry [253]
                0.00    0.00       1/1           camlHashtbl__entry [230]
                0.00    0.00       1/1           camlBuffer__entry [228]
                0.00    0.00       1/1           camlPrintf__entry [245]
                0.00    0.00       1/1           camlScanf__entry [249]
                0.00    0.00       1/1           camlStd_exit__entry [251]
-----------------------------------------------
                                                 <spontaneous>
[3]     48.1    0.00    0.48                 caml_start_program [3]
                0.00    0.48       1/1           caml_program [2]
-----------------------------------------------
                0.00    0.00       1/343         caml_alloc_small [84]
                0.00    0.01       7/343         caml_alloc_string [40]
                0.00    0.39     335/343         caml_garbage_collection [5]
[4]     40.1    0.00    0.40     343         caml_minor_collection [4]
                0.00    0.28     343/343         caml_major_collection_slice [7]
                0.00    0.12     686/686         caml_empty_minor_heap [15]
                0.00    0.00     343/343         caml_final_do_calls [183]
-----------------------------------------------
                0.00    0.39     335/335         caml_call_gc [6]
[5]     39.1    0.00    0.39     335         caml_garbage_collection [5]
                0.00    0.39     335/343         caml_minor_collection [4]
                0.00    0.00     335/1263        caml_process_pending_signals [175]
-----------------------------------------------
                                                 <spontaneous>
[6]     39.1    0.00    0.39                 caml_call_gc [6]
                0.00    0.39     335/335         caml_garbage_collection [5]
-----------------------------------------------
                0.00    0.28     343/343         caml_minor_collection [4]
[7]     28.1    0.00    0.28     343         caml_major_collection_slice [7]
                0.11    0.03     162/163         mark_slice [13]
                0.08    0.01     181/182         sweep_slice [22]
                0.00    0.05      17/17          caml_compact_heap_maybe [30]
                0.00    0.00      18/19          start_cycle [95]
                0.00    0.00    2058/3352        caml_gc_message [172]
-----------------------------------------------
                0.00    0.25       1/1           camlOptim2__entry [1]
[8]     24.7    0.00    0.25       1         camlOptim2__histogram_1042 [8]
                0.00    0.23       1/1           camlList__sort_1271 <cycle 2> [18]
                0.00    0.02       1/1           camlList__fold_left_1078 [52]
                0.00    0.00       1/87381       camlList__rev_merge_rev_1261 [20]
                0.00    0.00       1/143486      camlList__rev_append_1051 [50]
                0.00    0.00       1/1           camlList__stable_sort_1248 [234]
-----------------------------------------------
[9]     22.9    0.00    0.23       1+262142  <cycle 2 as a whole> [9]
                0.00    0.12  174762             camlList__rev_sort_1272 <cycle 2> [17]
                0.00    0.11   87381             camlList__sort_1271 <cycle 2> [18]
-----------------------------------------------
                0.01    0.21       1/1           camlOptim2__entry [1]
[10]    21.9    0.01    0.21       1         camlOptim2__read_words_1030 [10]
                0.00    0.18  273170/273170      camlScanf__scan_format_1685 [11]
                0.00    0.02  273170/273170      camlOptim2__fun_1065 [53]
                0.00    0.00  546340/6058413     caml_apply2 <cycle 1> [29]
                0.00    0.00  273170/819510      caml_curry3_1 [65]
                0.00    0.00       1/143486      camlList__rev_append_1051 [50]
                0.00    0.00  273170/273170      camlScanf__fun_1926 [117]
                0.00    0.00  546340/571168      caml_curry2_1 [128]
                0.00    0.00  273170/546340      camlScanf__delay_1694 [132]
                0.00    0.00  273170/819510      caml_curry3_2 [126]
                0.00    0.00  273170/273170      caml_curry5_4 [147]
                0.00    0.00  273170/1117510     caml_apply3 [123]
                0.00    0.00  273170/273170      camlScanf__fun_2864 [141]
                0.00    0.00       1/1           camlPervasives__open_in_gen_1214 [242]
                0.00    0.00       1/1           camlPervasives__open_in_1218 [241]
                0.00    0.00       1/1           camlList__tl_1039 [235]
-----------------------------------------------
                0.00    0.18  273170/273170      camlOptim2__read_words_1030 [10]
[11]    18.3    0.00    0.18  273170         camlScanf__scan_format_1685 [11]
                0.00    0.15  546340/546340      camlScanf__scan_conversion_1708 [12]
                0.01    0.00  819510/819510      camlScanf__scan_fmt_1705 [64]
                0.01    0.00  546340/546340      camlScanf__scan_limits_1707 [66]
                0.01    0.00  273170/273170      camlScanf__scan_1702 [68]
                0.00    0.00  273170/273170      camlBuffer__reset_1064 [80]
                0.00    0.00  546340/546340      camlScanf__scan_skip_1706 [137]
                0.00    0.00  273170/1117510     caml_apply3 [123]
-----------------------------------------------
                0.00    0.15  546340/546340      camlScanf__scan_format_1685 [11]
[12]    15.1    0.00    0.15  546340         camlScanf__scan_conversion_1708 [12]
                0.03    0.07  546340/546340      camlScanf__scan_chars_in_char_set_1596 [21]
                0.02    0.01  546340/546340      camlScanf__read_char_set_1479 [43]
                0.01    0.00  546340/1105094     camlString__sub_1046 [46]
                0.01    0.00  546340/819510      caml_curry3_1 [65]
                0.00    0.00  546340/6058413     caml_apply2 <cycle 1> [29]
                0.00    0.00  546340/546340      camlScanf__scan_fmt_stoppers_1709 [136]
-----------------------------------------------
                0.00    0.00       1/163         caml_finish_major_cycle [82]
                0.11    0.03     162/163         caml_major_collection_slice [7]
[13]    13.8    0.11    0.03     163         mark_slice [13]
                0.03    0.00 5994732/10654925     caml_page_table_lookup [32]
                0.00    0.00     326/3352        caml_gc_message [172]
                0.00    0.00      19/19          realloc_gray_vals [198]
                0.00    0.00      19/19          caml_final_update [197]
                0.00    0.00      19/21          caml_fl_init_merge [195]
-----------------------------------------------
                0.00    0.00  149860/4580837     camlList__rev_sort_1272 <cycle 2> [17]
                0.02    0.04 2105285/4580837     camlList__rev_merge_1251 [19]
                0.02    0.04 2325692/4580837     camlList__rev_merge_rev_1261 [20]
[14]    12.8    0.04    0.09 4580837         camlString__compare_1145 [14]
                0.02    0.07 4580837/4580837     caml_string_compare [24]
-----------------------------------------------
                0.00    0.12     686/686         caml_minor_collection [4]
