Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     32.42     0.00        2     0.00     0.00  caml_ml_open_descriptor_in
  0.00     32.42     0.00        2     0.00     0.00  caml_stat_free
  0.00     32.42     0.00        2     0.00     0.00  caml_sys_open
  0.00     32.42     0.00        2     0.00     0.00  norm_heapincr
  0.00     32.42     0.00        2     0.00     0.00  reset_table
  0.00     32.42     0.00        1     0.00     0.00  camlArray__entry
  0.00     32.42     0.00        1     0.00     0.00  camlBuffer__entry
  0.00     32.42     0.00        1     0.00     0.00  camlChar__entry
  0.00     32.42     0.00        1     0.00     0.00  camlHashtbl__entry
  0.00     32.42     0.00        1     0.00     0.00  camlList__entry
  0.00     32.42     0.00        1     0.00     0.00  camlList__rev_map_1067
  0.00     32.42     0.00        1     0.00     0.01  camlList__rmap_f_1070
  0.00     32.42     0.00        1     0.00     0.00  camlList__tl_1039
  0.00     32.42     0.00        1     0.00    11.83  camlOptim3_5__entry
  0.00     32.42     0.00        1     0.00     0.00  camlOptim3_5__iterate_1053
  0.00     32.42     0.00        1     0.00     0.34  camlOptim3_5__read_words_1030
  0.00     32.42     0.00        1     0.00     0.00  camlPervasives__close_out_1209
  0.00     32.42     0.00        1     0.00     0.00  camlPervasives__entry
  0.00     32.42     0.00        1     0.00     0.00  camlPervasives__flush_all_1185
  0.00     32.42     0.00        1     0.00     0.00  camlPervasives__iter_1186
  0.00     32.42     0.00        1     0.00     0.00  camlPervasives__open_in_1218
  0.00     32.42     0.00        1     0.00     0.00  camlPervasives__open_in_gen_1214
  0.00     32.42     0.00        1     0.00     0.00  camlPervasives__open_out_1179
  0.00     32.42     0.00        1     0.00     0.00  camlPervasives__open_out_gen_1175
  0.00     32.42     0.00        1     0.00     0.00  camlPrintf__entry
  0.00     32.42     0.00        1     0.00     0.00  camlPrintf__fprintf_1391
  0.00     32.42     0.00        1     0.00     0.00  camlPrintf__fun_1680
  0.00     32.42     0.00        1     0.00     0.00  camlPrintf__kapr_1209
  0.00     32.42     0.00        1     0.00     0.00  camlPrintf__kfprintf_1386
  0.00     32.42     0.00        1     0.00     0.00  camlPrintf__mkprintf_1345
  0.00     32.42     0.00        1     0.00     0.00  camlScanf__entry
  0.00     32.42     0.00        1     0.00     0.00  camlScanf__scan_raise_at_end_1147
  0.00     32.42     0.00        1     0.00     0.00  camlStd_exit__entry
  0.00     32.42     0.00        1     0.00     0.00  camlString__entry
  0.00     32.42     0.00        1     0.00     0.00  camlSys__entry
  0.00     32.42     0.00        1     0.00     0.00  caml_alloc
  0.00     32.42     0.00        1     0.00     0.00  caml_alloc_array
  0.00     32.42     0.00        1     0.00     0.00  caml_apply6
  0.00     32.42     0.00        1     0.00     0.00  caml_copy_string_array
  0.00     32.42     0.00        1     0.00     0.00  caml_curry4
  0.00     32.42     0.00        1     0.00     0.00  caml_curry4_1
  0.00     32.42     0.00        1     0.00     0.00  caml_curry7
  0.00     32.42     0.00        1     0.00     0.00  caml_curry7_1
  0.00     32.42     0.00        1     0.00     0.00  caml_curry7_2
  0.00     32.42     0.00        1     0.00     0.00  caml_curry7_3
  0.00     32.42     0.00        1     0.00     0.00  caml_curry7_4
  0.00     32.42     0.00        1     0.00     0.00  caml_curry7_5
  0.00     32.42     0.00        1     0.00     0.00  caml_curry7_6
  0.00     32.42     0.00        1     0.00     0.00  caml_debugger_init
  0.00     32.42     0.00        1     0.00     0.00  caml_executable_name
  0.00     32.42     0.00        1     0.00     0.00  caml_init_custom_operations
  0.00     32.42     0.00        1     0.00     0.00  caml_init_frame_descriptors
  0.00     32.42     0.00        1     0.00     0.01  caml_init_gc
  0.00     32.42     0.00        1     0.00     0.00  caml_init_major_heap
  0.00     32.42     0.00        1     0.00     0.00  caml_init_signals
  0.00     32.42     0.00        1     0.00     0.00  caml_insert_global_root
  0.00     32.42     0.00        1     0.00     0.26  caml_main
  0.00     32.42     0.00        1     0.00     0.00  caml_ml_close_channel
  0.00     32.42     0.00        1     0.00     0.00  caml_ml_out_channels_list
  0.00     32.42     0.00        1     0.00     0.00  caml_page_table_initialize
  0.00     32.42     0.00        1     0.00    11.83  caml_program
  0.00     32.42     0.00        1     0.00     0.02  caml_realloc_ref_table
  0.00     32.42     0.00        1     0.00     0.00  caml_register_global_root
  0.00     32.42     0.00        1     0.00     0.00  caml_register_named_value
  0.00     32.42     0.00        1     0.00     0.00  caml_set_minor_heap_size
  0.00     32.42     0.00        1     0.00     0.00  caml_sys_exit
  0.00     32.42     0.00        1     0.00     0.00  caml_sys_get_argv
  0.00     32.42     0.00        1     0.00     0.00  caml_sys_get_config
  0.00     32.42     0.00        1     0.00     0.00  caml_sys_init
  0.00     32.42     0.00        1     0.00     0.00  hash_value_name
  0.00     32.42     0.00        1     0.00     0.00  norm_minsize
  0.00     32.42     0.00        1     0.00     0.00  norm_pfree
  0.00     32.42     0.00        1     0.00     0.00  norm_pmax

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.03% of 32.42 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     57.3    0.49   18.10                 caml_c_call [1]
                1.17   16.92 306656692/306656692     caml_compare [2]
                0.00    0.01 1390681/1390681     caml_create_string [64]
                0.00    0.00   12416/12416       caml_make_vect [97]
                0.00    0.00   12413/12413       caml_format_int [106]
                0.00    0.00       1/1           caml_ml_out_channels_list [114]
                0.00    0.00       3/3           caml_lessequal [117]
                0.00    0.00       3/3           caml_greaterequal [116]
                0.00    0.00       1/1           caml_sys_get_argv [121]
                0.00    0.00       1/1           caml_sys_get_config [122]
                0.00    0.00       3/3           caml_ml_open_descriptor_out [124]
                0.00    0.00       2/2           caml_ml_open_descriptor_in [127]
                0.00    0.00       2/2           caml_sys_open [129]
                0.00    0.00   37239/37239       caml_ml_output_char [154]
                0.00    0.00   24826/24826       caml_ml_output [164]
                0.00    0.00    1685/1685        caml_ml_input [179]
                0.00    0.00       6/6           caml_int64_float_of_bits [207]
                0.00    0.00       3/3           caml_ml_flush [214]
                0.00    0.00       1/1           caml_ml_close_channel [269]
                0.00    0.00       1/1           caml_register_named_value [272]
-----------------------------------------------
                1.17   16.92 306656692/306656692     caml_c_call [1]
[2]     55.8    1.17   16.92 306656692         caml_compare [2]
               11.68    5.25 306656692/306656698     compare_val [3]
-----------------------------------------------
                0.00    0.00       3/306656698     caml_lessequal [117]
                0.00    0.00       3/306656698     caml_greaterequal [116]
               11.68    5.25 306656692/306656698     caml_compare [2]
[3]     52.2   11.68    5.25 306656698         compare_val [3]
                3.11    0.00 613313384/633191604     caml_page_table_lookup [11]
                2.14    0.00 612220708/613325807     caml_string_length [12]
-----------------------------------------------
                0.00   11.83       1/1           caml_program [5]
[4]     36.5    0.00   11.83       1         camlOptim3_5__entry [4]
                0.01   11.47       1/1           camlList__fold_left_1078 [7]
                0.00    0.34       1/1           camlOptim3_5__read_words_1030 [21]
                0.00    0.01       1/1           camlList__rmap_f_1070 [77]
                0.00    0.00       1/3           camlList__iter_1074 [83]
                0.00    0.00       1/1           camlPrintf__kapr_1209 [118]
                0.00    0.00       1/1           camlPrintf__mkprintf_1345 [123]
                0.00    0.00       1/1           camlList__rev_map_1067 [232]
                0.00    0.00       1/1           camlPervasives__open_out_gen_1175 [242]
                0.00    0.00       1/1           camlPervasives__open_out_1179 [241]
                0.00    0.00       1/1           caml_curry7_5 [261]
                0.00    0.00       1/1           caml_apply6 [253]
                0.00    0.00       1/1           camlPrintf__kfprintf_1386 [246]
                0.00    0.00       1/1           camlPrintf__fprintf_1391 [244]
                0.00    0.00       1/1           camlOptim3_5__iterate_1053 [234]
                0.00    0.00       1/1           caml_curry7_6 [262]
                0.00    0.00       1/1           camlPervasives__close_out_1209 [235]
-----------------------------------------------
                0.00   11.83       1/1           caml_start_program [6]
[5]     36.5    0.00   11.83       1         caml_program [5]
                0.00   11.83       1/1           camlOptim3_5__entry [4]
                0.00    0.00       1/1           camlPervasives__entry [236]
                0.00    0.00       1/1           camlArray__entry [227]
                0.00    0.00       1/1           camlList__entry [231]
                0.00    0.00       1/1           camlChar__entry [229]
                0.00    0.00       1/1           camlString__entry [250]
